blcb,12,0.75,0.5,2.25
blct,11,0.5,0.29166666666666669,0
blct,19,0.5,0,2.4583333333333335
blct,23,0.75,0.75,1.5
gamb,1,0.3125,0.58333333333333337,0
gamb,6,0.27083333333333331,0.375,1.0416666666666667
gamb,17,0.47916666666666669,0,0
gamt,1,0.33333333333333331,0,0
gamt,6,0,0.27083333333333331,0
gamt,10,0.625,0.58333333333333337,2.0625
gamt,12,0.33333333333333331,0.29166666666666669,1.0416666666666667
gamt,15,2.25,0.41666666666666669,0
gamt,16,0.27083333333333331,0,1.875
gamt,17,0,0.45833333333333331,2.0
humt,20,0.27083333333333331,0,1.1666666666666667
lipb,1,0.75,0,0
lipb,25,0,0.27083333333333331,0
lipt,3,0.33333333333333331,0.5,0
oslt,1,0.29166666666666669,0.5625,1.5208333333333333
oslt,2,0.77083333333333337,0.27083333333333331,2.875
oslt,4,0.5625,0.64583333333333337,2.3541666666666665
oslt,8,0.29166666666666669,0,2.5416666666666665
sinb,1,0,0.27083333333333331,0
sinb,28,0.4375,0,0
sinu,1,0.54166666666666663,0,1.7291666666666667
