ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2014-08-23 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-24 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-25 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-26 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-27 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-28 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-29 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-30 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-08-31 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-09-01 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-09-02 07:30:00,0.8241,0.8624,0.836,0.8289,0.8169,0.875,0.8421,0.854,0.8749,0.8251,0.8281,0.8301,0.6269,0.4853,0.5848,0.5798,0.6268,0.6947,-0.0228,-0.0228,-0.0197,-0.0369,-0.019,-0.006,0.0
2014-09-03 07:30:00,0.8361,0.8733,0.8475,0.8401,0.8282,0.8863,0.8531,0.8647,0.8856,0.8355,0.8393,0.8436,0.639,0.501,0.6001,0.5909,0.6379,0.7058,-0.0117,-0.0117,-0.009,-0.0256,-0.0074,-0.0037,0.0
2014-09-04 07:30:00,0.8411,0.877,0.851,0.8436,0.8316,0.8902,0.858,0.8699,0.8908,0.8399,0.8434,0.8424,0.6362,0.505,0.6035,0.594,0.641,0.7089,-0.0086,-0.0086,-0.0065,-0.0234,-0.0051,-0.0031,0.0
2014-09-05 07:30:00,0.839,0.8733,0.8476,0.8402,0.8282,0.8864,0.8545,0.8664,0.8876,0.8361,0.84,0.8356,0.6275,0.5056,0.6035,0.5942,0.6413,0.7092,-0.0083,-0.0083,-0.0058,-0.0223,-0.004,-0.0031,0.0
2014-09-06 07:30:00,0.8306,0.8638,0.838,0.831,0.8189,0.877,0.8457,0.858,0.879,0.8293,0.8331,0.8292,0.6186,0.5077,0.6053,0.5954,0.6428,0.7107,-0.0068,-0.0068,-0.0043,-0.0211,-0.0022,-0.0029,0.0
2014-09-07 07:30:00,0.8203,0.8533,0.828,0.8208,0.8088,0.8671,0.8361,0.8489,0.8702,0.8192,0.8227,0.82,0.606,0.5081,0.6057,0.5957,0.643,0.7109,-0.0066,-0.0066,-0.0036,-0.0201,-0.0011,-0.0027,0.0
2014-09-08 07:30:00,0.7994,0.8313,0.8059,0.7989,0.787,0.8457,0.8149,0.8277,0.8487,0.7981,0.8023,0.809,0.5908,0.5112,0.6081,0.5972,0.6446,0.7125,-0.005,-0.005,-0.0022,-0.019,0.0003,-0.0027,0.0
2014-09-09 07:30:00,0.7711,0.8048,0.7797,0.7727,0.7607,0.8198,0.7895,0.8018,0.8231,0.7708,0.7748,0.7854,0.5639,0.5113,0.6079,0.598,0.6451,0.713,-0.0045,-0.0045,-0.0014,-0.0182,0.0014,-0.0023,0.0
2014-09-10 07:30:00,0.7692,0.8021,0.777,0.7702,0.7586,0.8175,0.7869,0.7991,0.8203,0.768,0.7722,0.7848,0.5231,0.5124,0.609,0.5985,0.6461,0.714,-0.0035,-0.0035,-0.0005,-0.0173,0.0026,-0.0027,0.0
2014-09-11 07:30:00,0.7357,0.7676,0.7421,0.7353,0.7239,0.7832,0.7522,0.7644,0.7856,0.7331,0.7373,0.7534,0.482,0.5199,0.6119,0.6014,0.6485,0.7164,-0.0011,-0.0011,0.0017,-0.0151,0.0042,-0.0026,0.0
2014-09-12 07:30:00,0.7607,0.7924,0.7673,0.7602,0.7485,0.8078,0.7768,0.7887,0.8099,0.756,0.7606,0.775,0.4984,0.5717,0.6558,0.6449,0.6926,0.7605,0.043,0.043,0.0458,0.0287,0.048,-0.0024,0.0
2014-09-13 07:30:00,0.7406,0.7718,0.7472,0.7402,0.7291,0.788,0.7578,0.7693,0.7912,0.7373,0.7415,0.7592,0.4788,0.5726,0.6521,0.6406,0.6876,0.7555,0.038,0.038,0.041,0.0239,0.0431,-0.0023,0.0
2014-09-14 07:30:00,0.7332,0.7642,0.7396,0.7325,0.7214,0.7803,0.7507,0.7627,0.7839,0.73,0.7349,0.7564,0.4681,0.5751,0.6514,0.6395,0.6861,0.754,0.0365,0.0365,0.0386,0.0217,0.04,-0.0023,0.0
2014-09-15 07:30:00,0.7436,0.7745,0.7497,0.7426,0.7316,0.7906,0.7626,0.7745,0.7958,0.74,0.7455,0.7671,0.4592,0.5755,0.6484,0.6369,0.6838,0.7517,0.0342,0.0342,0.0367,0.0195,0.038,-0.0016,0.0
2014-09-16 07:30:00,0.7448,0.7758,0.7522,0.7467,0.7367,0.7951,0.7683,0.7805,0.8014,0.7453,0.7505,0.7684,0.4494,0.5731,0.6446,0.6327,0.6803,0.7482,0.0307,0.0307,0.0332,0.0161,0.035,-0.0016,0.0
2014-09-17 07:30:00,0.8471,0.8795,0.8574,0.853,0.8453,0.9032,0.8776,0.8906,0.9095,0.8526,0.8571,0.8734,0.4444,0.5748,0.6446,0.632,0.679,0.7469,0.0294,0.0294,0.0318,0.0147,0.0337,-0.0009,0.0
